Model,Spacing,Accuracy,Set Size
Mean,1.399999976158142,1.0,32
Multi-Head Attention,1.399999976158142,1.0,128
TopK,1.399999976158142,1.0,128
Mean,1.399999976158142,1.0,128
Baseline,1.4500000476837158,0.9666000008583069,1
Multi-Head Attention,1.4500000476837158,1.0,8
TopK,1.4500000476837158,1.0,8
Mean,1.4500000476837158,1.0,8
Multi-Head Attention,1.4500000476837158,1.0,32
TopK,1.4500000476837158,1.0,32
Mean,1.4500000476837158,1.0,32
Multi-Head Attention,1.4500000476837158,1.0,128
TopK,1.4500000476837158,1.0,128
Mean,1.4500000476837158,1.0,128
Baseline,1.5,0.9714999794960022,1
Multi-Head Attention,1.5,1.0,8
TopK,1.5,1.0,8
Mean,1.5,1.0,8
Multi-Head Attention,1.5,1.0,32
TopK,1.5,1.0,32
Mean,1.5,1.0,32
Multi-Head Attention,1.5,1.0,128
TopK,1.5,1.0,128
Mean,1.5,1.0,128
Baseline,0.05000000074505806,0.5281999707221985,1
Multi-Head Attention,0.05000000074505806,0.5792999863624573,8
TopK,0.05000000074505806,0.5903000235557556,8
Mean,0.05000000074505806,0.5769000053405762,8
Multi-Head Attention,0.05000000074505806,0.6628000140190125,32
TopK,0.05000000074505806,0.6654000282287598,32
Mean,0.05000000074505806,0.6687999963760376,32
Multi-Head Attention,0.05000000074505806,0.7921000123023987,128
TopK,0.05000000074505806,0.7840999960899353,128
Mean,0.05000000074505806,0.7918000221252441,128
Baseline,0.10000000149011612,0.5471000075340271,1
Multi-Head Attention,0.10000000149011612,0.6430000066757202,8
TopK,0.10000000149011612,0.6366000175476074,8
Mean,0.10000000149011612,0.6301000118255615,8
Multi-Head Attention,0.10000000149011612,0.754800021648407,32
TopK,0.10000000149011612,0.7663000226020813,32
Mean,0.10000000149011612,0.7502999901771545,32
Multi-Head Attention,0.10000000149011612,0.9178000092506409,128
TopK,0.10000000149011612,0.886900007724762,128
Mean,0.10000000149011612,0.9142000079154968,128
Baseline,0.15000000596046448,0.5652999877929688,1
Multi-Head Attention,0.15000000596046448,0.6888999938964844,8
TopK,0.15000000596046448,0.6881999969482422,8
Mean,0.15000000596046448,0.6894999742507935,8
Multi-Head Attention,0.15000000596046448,0.8321999907493591,32
TopK,0.15000000596046448,0.8129000067710876,32
Mean,0.15000000596046448,0.8374000191688538,32
Multi-Head Attention,0.15000000596046448,0.9775000214576721,128
TopK,0.15000000596046448,0.9161999821662903,128
Mean,0.15000000596046448,0.975600004196167,128
Baseline,0.20000000298023224,0.5964000225067139,1
